comment,cleaned_comment,case_folding,slang_check,tokenize,stopword_removal,stemming
Tuh dengar klau punya utang dolar harus berhati hati sdh jatuh melemah lg rupiah.,Tuh dengar klau punya utang dolar harus berhati hati sdh jatuh melemah lg rupiah,tuh dengar klau punya utang dolar harus berhati hati sdh jatuh melemah lg rupiah,tuh dengar klau punya utang dolar harus berhati hati sudah jatuh melemah lg rupiah,"['tuh', 'dengar', 'klau', 'punya', 'utang', 'dolar', 'harus', 'berhati', 'hati', 'sudah', 'jatuh', 'melemah', 'lg', 'rupiah']","['utang', 'dolar', 'berhati', 'hati', 'melemah', 'rupiah']",utang dolar hati hati lemah rupiah
Jagan dong pak di bandingkan dengan negara lain 😮😮negara lain koruptor di hukum mati jadi ngak ada yg. berani korupsi,Jagan dong pak di bandingkan dengan negara lain negara lain koruptor di hukum mati jadi ngak ada yg berani korupsi,jagan dong pak di bandingkan dengan negara lain negara lain koruptor di hukum mati jadi ngak ada yg berani korupsi,jagan dong pakai di bandingkan dengan negara lain negara lain koruptor di hukum mati jadi tidak ada yang berani korupsi,"['jagan', 'dong', 'pakai', 'di', 'bandingkan', 'dengan', 'negara', 'lain', 'negara', 'lain', 'koruptor', 'di', 'hukum', 'mati', 'jadi', 'tidak', 'ada', 'yang', 'berani', 'korupsi']","['jagan', 'pakai', 'koruptor', 'hukum', 'mati', 'korupsi']",jagan pakai koruptor hukum mati korupsi
Masih srahil2 aman2 itulah kata2 utk membela diri. jkw selalu membandingkan dgn negara lain. selalu menganggap terbaik. Diam kenapa,Masih srahil aman itulah kata utk membela diri jkw selalu membandingkan dgn negara lain selalu menganggap terbaik Diam kenapa,masih srahil aman itulah kata utk membela diri jkw selalu membandingkan dgn negara lain selalu menganggap terbaik diam kenapa,masih srahil aman itulah kata untuk membela diri jkw selalu membandingkan dgn negara lain selalu menganggap terbaik diam kenapa,"['masih', 'srahil', 'aman', 'itulah', 'kata', 'untuk', 'membela', 'diri', 'jkw', 'selalu', 'membandingkan', 'dgn', 'negara', 'lain', 'selalu', 'menganggap', 'terbaik', 'diam', 'kenapa']","['srahil', 'membela', 'jkw', 'membandingkan', 'terbaik']",srahil bela jkw banding baik
Di bilng STABIL tpi malah bilang mlakukan langkah STABILISASI ?? gimana itu 🎉😂 klo STABIL ngapain ngambil langlah STABILISASI 😂😂😂,Di bilng STABIL tpi malah bilang mlakukan langkah STABILISASI  gimana itu  klo STABIL ngapain ngambil langlah STABILISASI ,di bilng stabil tpi malah bilang mlakukan langkah stabilisasi gimana itu klo stabil ngapain ngambil langlah stabilisasi,di bilng stabil tpi malah bilang melakukan langkah stabilisasi gimana itu klo stabil kenapa ngambil langlah stabilisasi,"['di', 'bilng', 'stabil', 'tpi', 'malah', 'bilang', 'melakukan', 'langkah', 'stabilisasi', 'gimana', 'itu', 'klo', 'stabil', 'kenapa', 'ngambil', 'langlah', 'stabilisasi']","['bilng', 'stabil', 'langkah', 'stabilisasi', 'stabil', 'ngambil', 'langlah', 'stabilisasi']",bilng stabil langkah stabilisasi stabil ngambil lang stabilisasi
Gak sesuai dengan janji nya waktu pemilu 1 dolar 10 rb 😢😢😢😢,Gak sesuai dengan janji nya waktu pemilu  dolar  rb ,gak sesuai dengan janji nya waktu pemilu dolar rb,tidak sesuai dengan janji nya waktu pemilu dolar ribu,"['tidak', 'sesuai', 'dengan', 'janji', 'nya', 'waktu', 'pemilu', 'dolar', 'ribu']","['pemilu', 'dolar', 'ribu']",milu dolar ribu
Masih bisa up ke 23k 😅per dollar Ayo dolar trus grus rupiah,Masih bisa up ke k per dollar Ayo dolar trus grus rupiah,masih bisa up ke k per dollar ayo dolar trus grus rupiah,masih bisa up ke k per dollar ayo dolar trus grus rupiah,"['masih', 'bisa', 'up', 'ke', 'k', 'per', 'dollar', 'ayo', 'dolar', 'trus', 'grus', 'rupiah']","['k', 'dollar', 'dolar', 'grus', 'rupiah']",k dollar dolar grus rupiah
Nilai rupiah nya kembali ke zaman 98 Dulu tapi abis suharto lengser habibie bisa nguatin nilai rupiahh sangat drastis... Tapi gw ga yakin itu bisa terjadi lagi..,Nilai rupiah nya kembali ke zaman  Dulu tapi abis suharto lengser habibie bisa nguatin nilai rupiahh sangat drastis Tapi gw ga yakin itu bisa terjadi lagi,nilai rupiah nya kembali ke zaman dulu tapi abis suharto lengser habibie bisa nguatin nilai rupiahh sangat drastis tapi gw ga yakin itu bisa terjadi lagi,nilai rupiah nya kembali ke zaman dulu tapi habis suharto lengser habibie bisa nguatin nilai rupiahh sangat drastis tapi gw ga yakin itu bisa terjadi lagi,"['nilai', 'rupiah', 'nya', 'kembali', 'ke', 'zaman', 'dulu', 'tapi', 'habis', 'suharto', 'lengser', 'habibie', 'bisa', 'nguatin', 'nilai', 'rupiahh', 'sangat', 'drastis', 'tapi', 'gw', 'ga', 'yakin', 'itu', 'bisa', 'terjadi', 'lagi']","['nilai', 'rupiah', 'zaman', 'suharto', 'lengser', 'habibie', 'nguatin', 'nilai', 'rupiahh', 'drastis']",nilai rupiah zaman suharto lengser habibie nguatin nilai rupiahh drastis
Herannya pemerintah selalu aja terkesan masih menyepelakan dan berkata bahwa ini masih mending dari negara bla bla bla. fokus aja memperbaiki keadaan 😢,Herannya pemerintah selalu aja terkesan masih menyepelakan dan berkata bahwa ini masih mending dari negara bla bla bla fokus aja memperbaiki keadaan ,herannya pemerintah selalu aja terkesan masih menyepelakan dan berkata bahwa ini masih mending dari negara bla bla bla fokus aja memperbaiki keadaan,herannya pemerintah selalu aja terkesan masih menyepelakan dan berkata bahwa ini masih lebih baik dari negara bla bla bla fokus aja memperbaiki keadaan,"['herannya', 'pemerintah', 'selalu', 'aja', 'terkesan', 'masih', 'menyepelakan', 'dan', 'berkata', 'bahwa', 'ini', 'masih', 'lebih', 'baik', 'dari', 'negara', 'bla', 'bla', 'bla', 'fokus', 'aja', 'memperbaiki', 'keadaan']","['herannya', 'terkesan', 'menyepelakan', 'fokus', 'memperbaiki']",heran kes pelak fokus baik
Bapak kau setabil.orang susah gara2 pe.erintah gak becus,Bapak kau setabilorang susah gara peerintah gak becus,bapak kau setabilorang susah gara peerintah gak becus,bapak kau setabilorang susah gara peerintah tidak becus,"['bapak', 'kau', 'setabilorang', 'susah', 'gara', 'peerintah', 'tidak', 'becus']","['setabilorang', 'peerintah', 'becus']",setabilorang peerintah becus
Dari dulu juga lemah mulu dasar muka tembok kerja gk ada buahnya mkn tidur kentut mulu😂😂😂,Dari dulu juga lemah mulu dasar muka tembok kerjagk ada buahnya mkn tidur kentut mulu,dari dulu juga lemah mulu dasar muka tembok kerjagk ada buahnya mkn tidur kentut mulu,dari dulu juga lemah mulu dasar muka tembok kerjagk ada buahnya mkn tidur kentut mulu,"['dari', 'dulu', 'juga', 'lemah', 'mulu', 'dasar', 'muka', 'tembok', 'kerjagk', 'ada', 'buahnya', 'mkn', 'tidur', 'kentut', 'mulu']","['lemah', 'muka', 'tembok', 'kerjagk', 'buahnya']",lemah muka tembok kerjagk buah
Utang pake dolar. ngalamat remuk lah negara,Utang pake dolar ngalamat remuk lah negara,utang pake dolar ngalamat remuk lah negara,utang pake dolar ngalamat remuk lah negara,"['utang', 'pake', 'dolar', 'ngalamat', 'remuk', 'lah', 'negara']","['utang', 'dolar', 'remuk']",utang dolar remuk
Biar babak belur.biar mati bareng2.,Biar babak belurbiar mati bareng,biar babak belurbiar mati bareng,biar babak belurbiar mati bareng,"['biar', 'babak', 'belurbiar', 'mati', 'bareng']","['babak', 'belurbiar', 'mati', 'bareng']",babak belurbiar mati bareng
1.Korupsi.hutang.judi online.E comerce(Tokopedia.shopee.lazada dan lainnya)salah satu penyumbang terbesar dollar menjadi tinggi dikarenakan emas menguap keluar negeri.2.kejahatan global elite memainkan mata uang agar bisa bikin budak dunia padahal nilai emas sudah ditentukan international seharusnya mata uang nilainya sama Begitulah jahatnya bila negara yang d3kat dengan Amerika dan eropa nilainya pastilah tinggi Saatnya emas menjadi alat tukar,Korupsihutangjudi onlineE comerceTokopediashopeelazada dan lainnyasalah satu penyumbang terbesar dollar menjadi tinggi dikarenakan emas menguap keluar negeri kejahatan global elite memainkan mata uang agar bisa bikin budak dunia padahal nilai emas sudah ditentukan international seharusnya mata uang nilainya sama Begitulah jahatnya bila negara yang dkat dengan Amerika dan eropa nilainya pastilah tinggi Saatnya emas menjadi alat tukar,korupsihutangjudi online ecomercetokopediashopeelazada dan lainnyasalah satu penyumbang terbesar dollar menjadi tinggi dikarenakan emas menguap keluar negeri kejahatan global elite memainkan mata uang agar bisa bikin budak dunia padahal nilai emas sudah ditentukan international seharusnya mata uang nilainya sama begitulah jahatnya bila negara yang dkat dengan amerika dan eropa nilainya pastilah tinggi saatnya emas menjadi alat tukar,korupsihutangjudi onlinee comercetokopediashopeelazada dan lainnyasalah satu penyumbang terbesar dollar menjadi tinggi dikarenakan emas keluar keluar negeri kejahatan global elite memainkan mata uang agar bisa bikin budak dunia padahal nilai emas sudah ditentukan international seharusnya mata uang nilainya sama begitulah jahatnya bila negara yang dkat dengan amerika dan eropa nilainya pastilah tinggi saatnya emas menjadi alat tukar,"['korupsihutangjudi', 'onlinee', 'comercetokopediashopeelazada', 'dan', 'lainnyasalah', 'satu', 'penyumbang', 'terbesar', 'dollar', 'menjadi', 'tinggi', 'dikarenakan', 'emas', 'keluar', 'keluar', 'negeri', 'kejahatan', 'global', 'elite', 'memainkan', 'mata', 'uang', 'agar', 'bisa', 'bikin', 'budak', 'dunia', 'padahal', 'nilai', 'emas', 'sudah', 'ditentukan', 'international', 'seharusnya', 'mata', 'uang', 'nilainya', 'sama', 'begitulah', 'jahatnya', 'bila', 'negara', 'yang', 'dkat', 'dengan', 'amerika', 'dan', 'eropa', 'nilainya', 'pastilah', 'tinggi', 'saatnya', 'emas', 'menjadi', 'alat', 'tukar']","['korupsihutangjudi', 'onlinee', 'comercetokopediashopeelazada', 'lainnyasalah', 'penyumbang', 'terbesar', 'dollar', 'emas', 'kejahatan', 'global', 'elite', 'memainkan', 'budak', 'dunia', 'nilai', 'emas', 'ditentukan', 'international', 'jahatnya', 'dkat', 'amerika', 'eropa', 'emas', 'alat', 'tukar']",korupsihutangjudi onlinee comercetokopediashopeelazada lainnyasalah sumbang besar dollar emas jahat global elite main budak dunia nilai emas tentu international jahat dkat amerika eropa emas alat tukar
Udah tenang. bukan urusan kita. . Urusan alien..,Udah tenang bukan urusan kita  Urusan alien,udah tenang bukan urusan kita urusan alien,udah tenang bukan urusan kita urusan alien,"['udah', 'tenang', 'bukan', 'urusan', 'kita', 'urusan', 'alien']","['tenang', 'urusan', 'urusan', 'alien']",tenang urus urus alien
Paksa semua warga yg pegang dollar agar menukarkan ke rupiah,Paksa semua warga yg pegang dollar agar menukarkan ke rupiah,paksa semua warga yg pegang dollar agar menukarkan ke rupiah,paksa semua warga yang pegang dollar agar menukarkan ke rupiah,"['paksa', 'semua', 'warga', 'yang', 'pegang', 'dollar', 'agar', 'menukarkan', 'ke', 'rupiah']","['paksa', 'warga', 'pegang', 'dollar', 'menukarkan', 'rupiah']",paksa warga pegang dollar tukar rupiah
Ora masalah seng penting anak.mantu.cucu jokowi kaya raya dan ttp bisa berkuasa ora poseng penting hrs membangun dinasty dan hrs hutang gede supaya bisa maju Negaranya dan bahagia rakyatnyaa..kan jokowi pemimpi yg hebat dan kuat sepanjang sejarah..pecatur ulung😂😂😂,Ora masalah seng penting anakmantucucu jokowi kaya raya dan ttp bisa berkuasa ora poseng penting hrs membangun dinasty dan hrs hutang gedesupaya bisa maju Negaranya dan bahagia rakyatnyaakan jokowi pemimpi yg hebat dan kuat sepanjang sejarahpecatur ulung,ora masalah seng penting anakmantucucu jokowi kaya raya dan ttp bisa berkuasa ora poseng penting hrs membangun dinasty dan hrs hutang gedesupaya bisa maju negaranya dan bahagia rakyatnyaakan jokowi pemimpi yg hebat dan kuat sepanjang sejarahpecatur ulung,tidak masalah seng penting anakmantucucu jokowi kaya raya dan ttp bisa berkuasa tidak poseng penting hrs membangun dinasty dan hrs hutang gedesupaya bisa maju negaranya dan bahagia rakyatnyaakan jokowi pemimpi yang hebat dan kuat sepanjang sejarahpecatur ulung,"['tidak', 'masalah', 'seng', 'penting', 'anakmantucucu', 'jokowi', 'kaya', 'raya', 'dan', 'ttp', 'bisa', 'berkuasa', 'tidak', 'poseng', 'penting', 'hrs', 'membangun', 'dinasty', 'dan', 'hrs', 'hutang', 'gedesupaya', 'bisa', 'maju', 'negaranya', 'dan', 'bahagia', 'rakyatnyaakan', 'jokowi', 'pemimpi', 'yang', 'hebat', 'dan', 'kuat', 'sepanjang', 'sejarahpecatur', 'ulung']","['anakmantucucu', 'jokowi', 'ttp', 'berkuasa', 'poseng', 'membangun', 'dinasty', 'hutang', 'gedesupaya', 'maju', 'negaranya', 'bahagia', 'rakyatnyaakan', 'jokowi', 'pemimpi', 'kuat', 'sejarahpecatur', 'ulung']",anakmantucucu jokowi ttp kuasa poseng bangun dinasty hutang gedesupaya maju negara bahagia rakyatnyaakan jokowi mimpi kuat sejarahpecatur ulung
ni pasti ada pejabat yg korupsi menyimpan wang di luarnegri,ni pasti ada pejabat yg korupsi menyimpan wang di luarnegri,ni pasti ada pejabat yg korupsi menyimpan wang di luarnegri,ni pasti ada pejabat yang korupsi menyimpan uang di luarnegri,"['ni', 'pasti', 'ada', 'pejabat', 'yang', 'korupsi', 'menyimpan', 'uang', 'di', 'luarnegri']","['pejabat', 'korupsi', 'menyimpan', 'luarnegri']",jabat korupsi simpan luarnegri
Makanya jadi pejabat itu jangan korupsi mulu. jangan rusak negara.Negara kita besar. harusnya kalian pikir gimana caranya bisa maju seperti negara lain. negara lain kalo sudah maju. penukaran kurs itu turun. Beda sama di indo semakin naik semakin menjelit.,Makanya jadi pejabat itu jangan korupsi mulu jangan rusak negara. Negara kita besar harusnya kalian pikir gimana caranya bisa maju seperti negara lain negara lain kalo sudah maju penukaran kurs itu turun Beda sama di indo semakin naik semakin menjelit",makanya jadi pejabat itu jangan korupsi mulu jangan rusak negara negara kita besar harusnya kalian pikir gimana caranya bisa maju seperti negara lain negara lain kalo sudah maju penukaran kurs itu turun beda sama di indo semakin naik semakin menjelit,makanya jadi pejabat itu jangan korupsi mulu jangan rusak negara negara kita besar harusnya kalian pikir gimana caranya bisa maju seperti negara lain negara lain jika sudah maju penukaran kurs itu turun beda sama di indo semakin naik semakin menjelit,"['makanya', 'jadi', 'pejabat', 'itu', 'jangan', 'korupsi', 'mulu', 'jangan', 'rusak', 'negara', 'negara', 'kita', 'besar', 'harusnya', 'kalian', 'pikir', 'gimana', 'caranya', 'bisa', 'maju', 'seperti', 'negara', 'lain', 'negara', 'lain', 'jika', 'sudah', 'maju', 'penukaran', 'kurs', 'itu', 'turun', 'beda', 'sama', 'di', 'indo', 'semakin', 'naik', 'semakin', 'menjelit']","['pejabat', 'korupsi', 'rusak', 'pikir', 'maju', 'maju', 'penukaran', 'kurs', 'indo', 'menjelit']",jabat korupsi rusak pikir maju maju tukar kurs indo jelit
Ngapain ngebanding²kan dengan negara lain. Negara lain hancur apa mau ikutan hancur juga.,Ngapain ngebandingkan dengan negara lain Negara lain hancur apa mau ikutan hancur juga,ngapain ngebandingkan dengan negara lain negara lain hancur apa mau ikutan hancur juga,kenapa ngebandingkan dengan negara lain negara lain hancur apa ingin ikutan hancur juga,"['kenapa', 'ngebandingkan', 'dengan', 'negara', 'lain', 'negara', 'lain', 'hancur', 'apa', 'ingin', 'ikutan', 'hancur', 'juga']","['ngebandingkan', 'hancur', 'ikutan', 'hancur']",ngebandingkan hancur ikut hancur
jatuh miskin,jatuh miskin,jatuh miskin,jatuh miskin,"['jatuh', 'miskin']",['miskin'],miskin
indonesia akan bankrub ha ha,indonesia akan bankrub ha ha,indonesia akan bankrub ha ha,indonesia akan bankrub ha ha,"['indonesia', 'akan', 'bankrub', 'ha', 'ha']","['indonesia', 'bankrub']",indonesia bankrub
jadi heran orang orang pinter di indonesia kerjanya apa sii melemah terus rupiah😢,jadi heran orang orang pinter di indonesia kerjanya apa sii melemah terus rupiah,jadi heran orang orang pinter di indonesia kerjanya apa sii melemah terus rupiah,jadi heran orang orang pinter di indonesia kerjanya apa sii melemah terus rupiah,"['jadi', 'heran', 'orang', 'orang', 'pinter', 'di', 'indonesia', 'kerjanya', 'apa', 'sii', 'melemah', 'terus', 'rupiah']","['heran', 'pinter', 'indonesia', 'melemah', 'rupiah']",heran pinter indonesia lemah rupiah
indonesia makin miskin pak ini gmn utang negara udah semakin banyak nilai mata uang uang rupiah melemah terus,indonesia makin miskin pak ini gmn utang negara udah semakin banyak nilai mata uang uang rupiah melemah terus,indonesia makin miskin pak ini gmn utang negara udah semakin banyak nilai mata uang uang rupiah melemah terus,indonesia makin miskin pakai ini gimana utang negara udah semakin banyak nilai mata uang uang rupiah melemah terus,"['indonesia', 'makin', 'miskin', 'pakai', 'ini', 'gimana', 'utang', 'negara', 'udah', 'semakin', 'banyak', 'nilai', 'mata', 'uang', 'uang', 'rupiah', 'melemah', 'terus']","['indonesia', 'miskin', 'pakai', 'utang', 'nilai', 'rupiah', 'melemah']",indonesia miskin pakai utang nilai rupiah lemah
Solusinya Indonesia Tenang.....,Solusinya Indonesia Tenang,solusinya indonesia tenang,solusinya indonesia tenang,"['solusinya', 'indonesia', 'tenang']","['indonesia', 'tenang']",indonesia tenang
Bukan nya Indonesia emas ? Jadinya Indonesia cemas,Bukan nya Indonesia emas  Jadinya Indonesia cemas,bukan nya indonesia emas jadinya indonesia cemas,bukan nya indonesia emas jadinya indonesia cemas,"['bukan', 'nya', 'indonesia', 'emas', 'jadinya', 'indonesia', 'cemas']","['indonesia', 'emas', 'indonesia', 'cemas']",indonesia emas indonesia cemas
ahlinya nyari biang kerok. tp ga pernah ada solusi. nyuruhnya tingkatin belanja dlm negeri. tp produk dlm negeri sndr di banjiri barang impor. alasan brg impor lbh murah. tp ga di bantu pengusaha lokal. pemerintah dungu..,ahlinya nyari biang kerok tp ga pernah ada solusi nyuruhnya tingkatin belanja dlm negeri tp produk dlm negeri sndr di banjiri barang impor alasan brg impor lbh murah tp ga di bantu pengusaha lokal pemerintah dungu,ahlinya nyari biang kerok tp ga pernah ada solusi nyuruhnya tingkatin belanja dlm negeri tp produk dlm negeri sndr di banjiri barang impor alasan brg impor lbh murah tp ga di bantu pengusaha lokal pemerintah dungu,ahlinya nyari biang kerok tp ga pernah ada solusi nyuruhnya tingkatin belanja dlm negeri tp produk dlm negeri sndr di banjiri barang impor alasan brg impor lbh murah tp ga di bantu pengusaha lokal pemerintah dungu,"['ahlinya', 'nyari', 'biang', 'kerok', 'tp', 'ga', 'pernah', 'ada', 'solusi', 'nyuruhnya', 'tingkatin', 'belanja', 'dlm', 'negeri', 'tp', 'produk', 'dlm', 'negeri', 'sndr', 'di', 'banjiri', 'barang', 'impor', 'alasan', 'brg', 'impor', 'lbh', 'murah', 'tp', 'ga', 'di', 'bantu', 'pengusaha', 'lokal', 'pemerintah', 'dungu']","['ahlinya', 'nyari', 'biang', 'kerok', 'solusi', 'tingkatin', 'belanja', 'sndr', 'banjiri', 'barang', 'impor', 'alasan', 'brg', 'impor', 'murah', 'bantu', 'pengusaha', 'dungu']",ahli nyari biang kerok solusi tingkatin belanja sndr banjir barang impor alas brg impor murah bantu usaha dungu
